1,1,World Wide Web and satellite television are examples of mass media.,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s01,True (Incorrect),False (Correct),,,,
1,2,"The Corporation for Public Broadcasting was created by the federal government in 1967 as a private, nonprofit corporation.",http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s01,True (Correct),FALSE,,,,
1,3,Which of the following is classified as mass media?,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s01,Instant messenger (Incorrect),Blog,Cell phone,Network television (Correct),Governmental Website,
1,4,Which of the following statements is true of new media?,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s01,They are designed to reach large audiences. (Incorrect),They are well-established communication patterns.,They are electronic forms of communication. (Correct),They lack the ability to be interactive.,They do not encourage democratic communication.,
1,5,Which of the following is a valid observation of the media industry in the United States?,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s01,The industry is dominated by only a few companies. (Correct),The industry is characterized by the absence of multinational companies.,The industry is generally considered a not-for profit industry.,The industry is not regulated by a specific regulatory authority.,The industry is widely appreciated for its extensive coverage of government and public affairs.,
1,6,Which of the following was the core of the mass media of the departed twentieth century?,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s01,Films (Incorrect),Commercial Radio,Books,Magazines,Newspaper (Correct),
1,7,"Institutions, organizations, and subjects that a reporter is assigned to cover regularly are called scoops.",http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s02,True (Incorrect),False (Correct),,,,
1,8,The mass media rely on the wire services wire services for much of their international and national news.,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s02,True (Correct),FALSE,,,,
1,9,"Journalists are known as lap dogs when their news stories hold people in power accountable by scrutinizing and reporting their statements, activities, claimed accomplishments, and failures.",http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s02,True (Incorrect),False (Correct),,,,
1,10,Which of the following is the most accurate description of news?,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s02,News refers to detailed descriptions of events happening across the world. (Incorrect),News is a collection of interrelated events.,News is a selective account of what happens in the world. (Correct),News refers to the unidirectional interpretation of the happenings in the world.,News is a chain of related events presented in an attractive manner.,
1,11,"Institutions, organizations, and subjects that a reporter is assigned to cover regularly are called _____.",http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s02,sources (Incorrect),objects,scoops,wires,beats (Correct),
1,12,Which of the following best describes sources?,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s02,They are people who manipulate information. (Incorrect),They are people who provide information. (Correct),They are institutions that appoint journalists.,They are news obtained ahead of other reporters.,They are intermediaries between government and media.,
1,13,News that a reporter obtains ahead of others are called _____.,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s02,scoops (Correct),wires,beats,leads,chains,
1,14,What are wire services?,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s02,online media that publish news (Incorrect),agencies that transmit news internationally (Correct),media networks that cover only national news,electronic media that cover unidirectional news,media networks that cover only local news,
1,15,Spinning information refers to _____.,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s02,collecting information from informal sources (Incorrect),reporting without investigating on issues,buying information from third parties for reporting,interpreting information to support one’s point of view (Correct),using information from a variety of sources when reporting,
1,16,Journalists are called _____ when the government’s perspective dominates their news stories.,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s02,lap dogs (Correct),watchdogs,spin dogs,attack dogs,wired dogs,
1,17,"Journalists are known as _____ when their news stories hold people in power accountable by scrutinizing and reporting their statements, activities, claimed accomplishments, and failures.",http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s02,attack dogs (Incorrect),wired dogs,lap dogs,watchdogs (Correct),spin dogs,
1,18,Attack dogs are journalists whose stories are _____.,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s02,representative of the government’s policies (Incorrect),highly negative about government and politics (Correct),intended to scrutinize famous individuals,used to promote the president and executives,intended to report specific behaviors of people,
1,19,The power of the media to tell the public what subjects and issues to think about is called agenda setting.,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s03,True (Correct),FALSE,,,,
1,20,Which of the following refers to the media’s power to tell the public what subjects and issues to think about?,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s03,Agenda setting power (Correct),Spinning power,Framing power,Indexing power,Investigative power,
1,21,Framing refers to media’s power to _____.,http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s03,present relevant information (Incorrect),tell people what to think about,present complete information,engage in lobbying to obtain scoops,influence how people are thinking (Correct),
1,22,"Media frames can provide criteria that audience members use to make judgments about government institutions, public officials, and issues. This is called _____.",http://catalog.flatworldknowledge.com/bookhub/identify/none/3797?e=paletz_1.0-ch01_s03,Scooping (Incorrect),Framing,Spinning,Priming (Correct),Agenda setting,
